latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
6.82586535,2.90016368,18.2210,0.7804,"POLYGON((2.90019001677988 6.82587498866322, 2.90016324996083 6.82589337477497, 2.90013735488693 6.8258557132745, 2.90016412170412 6.82583732716495, 2.90019001677988 6.82587498866322))",6FR4RWG2+83VJ
6.80400578,2.86188461,10.1495,0.7003,"POLYGON((2.86190272132792 6.80399642927281, 2.86189236375748 6.80402462327311, 2.86186652617491 6.8040151398138, 2.86187688374657 6.80398694581421, 2.86190272132792 6.80399642927281))",6FR4RV36+JQ27
6.80371122,2.85827370,98.5243,0.9010,"POLYGON((2.85833446054198 6.80369238369585, 2.8582847044879 6.80377384325572, 2.85821294050378 6.80373004823885, 2.85826269656512 6.80364858868639, 2.85833446054198 6.80369238369585))",6FR4RV35+F8JH
6.79685500,2.86068149,9.7196,0.7021,"POLYGON((2.86069694899401 6.79684249215289, 2.86069425646915 6.79687028255811, 2.8606660342827 6.79686755054758, 2.86066872680917 6.79683976014217, 2.86069694899401 6.79684249215289))",6FR4QVW6+P7V9
6.79639341,2.85955029,88.8916,0.7740,"POLYGON((2.85960263839001 6.79642327412148, 2.85951649289743 6.79644329105262, 2.85949794903869 6.79636355348992, 2.85958409451742 6.7963435365616, 2.85960263839001 6.79642327412148))",6FR4QVW5+HR3P
6.79670643,2.85826626,16.5061,0.7812,"POLYGON((2.85827724959338 6.79668291192765, 2.85828890669722 6.79671913673768, 2.85825527331832 6.79672995062994, 2.85824361621688 6.79669372581946, 2.85827724959338 6.79668291192765))",6FR4QVW5+M8J8
6.80223305,2.85420689,96.7170,0.7676,"POLYGON((2.85426408095862 6.80220605488509, 2.85422367891856 6.80229399180348, 2.85414969810033 6.80226003176366, 2.8541901001507 6.80217209485152, 2.85426408095862 6.80220605488509))",6FR4RV23+VMW8
6.83136326,2.91087412,50.4496,0.7777,"POLYGON((2.91091980617297 6.83137724438182, 2.91088138590053 6.83141045588856, 2.91082843814788 6.83134926554699, 2.910866858419 6.83131605404446, 2.91091980617297 6.83137724438182))",6FR4RWJ6+G8XH
6.83300683,2.87948505,235.2094,0.8949,"POLYGON((2.87955090657611 6.83292038783511, 2.87951667812655 6.83311078048081, 2.87941919523142 6.83309327289979, 2.87945342371801 6.83290288026147, 2.87955090657611 6.83292038783511))",6FR4RVMH+6Q58
6.82064464,2.88419753,13.8272,0.7058,"POLYGON((2.88422082489137 6.82065101701864, 2.88419736470749 6.82066877583414, 2.88417424770562 6.82063826654381, 2.88419770788843 6.82062050772971, 2.88422082489137 6.82065101701864))",6FR4RVCM+7M4M
6.79754563,2.84849654,47.4268,0.7720,"POLYGON((2.84854308850413 6.79754895215218, 2.84851505676167 6.79758844958625, 2.84844999665388 6.79754231553943, 2.84847802839948 6.79750281810844, 2.84854308850413 6.79754895215218))",6FR4QRXX+299X
6.83627205,2.89931651,13.7581,0.7441,"POLYGON((2.8993296387137 6.83625235532432, 2.89933591098013 6.83628561995169, 2.89930337640792 6.83629174826923, 2.89929710414361 6.83625848364152, 2.8993296387137 6.83625235532432))",6FR4RVPX+GP4R
6.82490937,2.89037897,35.0141,0.7067,"POLYGON((2.89040946017005 6.82488701411422, 2.89040340716173 6.82493821427763, 2.8903484698685 6.82493172580176, 2.89035452288247 6.82488052563907, 2.89040946017005 6.82488701411422))",6FR4RVFR+X566
6.80275257,2.86008159,224.8205,0.9268,"POLYGON((2.86016739722143 6.80269491416005, 2.86008676702475 6.80285579520976, 2.85999577877787 6.80281023410959, 2.86007640899653 6.80264935307536, 2.86016739722143 6.80269491416005))",6FR4RV36+4244
6.79752605,2.85706762,12.5647,0.6628,"POLYGON((2.8570852414278 6.79751139987807, 2.85707800541244 6.79754647515687, 2.85705001824193 6.79754070639046, 2.85705725425922 6.79750563111211, 2.8570852414278 6.79751139987807))",6FR4QVX4+2R82
6.80252930,2.85394354,76.6672,0.7252,"POLYGON((2.85394016250153 6.8025913010656, 2.85389134493277 6.80256297614128, 2.85394690857768 6.80246729761415, 2.85399572614022 6.80249562253297, 2.85394016250153 6.8025913010656))",6FR4RV33+2H82
6.79946964,2.84974451,135.5133,0.9224,"POLYGON((2.84981039010626 6.79943262890818, 2.84976344817944 6.79954277482585, 2.84967863086008 6.79950665886783, 2.84972557280217 6.7993965129587, 2.84981039010626 6.79943262890818))",6FR4QRXX+QVQQ
6.80193375,2.85281755,106.8814,0.8270,"POLYGON((2.85287995047143 6.8019122834774, 2.85283965214681 6.80199590052652, 2.85275514929749 6.80195521114692, 2.85279544763294 6.80187159410481, 2.85287995047143 6.8019122834774))",6FR4RV23+Q4G6
6.82126511,2.88441989,89.7499,0.8597,"POLYGON((2.88441107500674 6.8213289516396, 2.8843595119194 6.82128772179644, 2.8844287049109 6.82120127053326, 2.88448026799515 6.82124250036911, 2.88441107500674 6.8213289516396))",6FR4RVCM+GQ3M
6.82721377,2.89932265,54.7370,0.7713,"POLYGON((2.89935730406893 6.82717196585951, 2.89933160656092 6.82726731104727, 2.899288007622 6.82725557182563, 2.89931370513782 6.82716022664013, 2.89935730406893 6.82717196585951))",6FR4RVGX+VPPF
6.82088786,2.88248097,179.0871,0.9214,"POLYGON((2.88256632607835 6.82088217294145, 2.8824802689121 6.82097336151031, 2.88239561847288 6.8208935512673, 2.88248167564044 6.82080236271327, 2.88256632607835 6.82088217294145))",6FR4RVCJ+9X5F
6.79965221,2.85748779,164.4466,0.8834,"POLYGON((2.8575699 6.7996356, 2.8575281 6.7997256, 2.8574057 6.7996689, 2.8574475 6.7995788, 2.8575699 6.7996356))",6FR4QVX4+VX94
6.80169835,2.86077306,111.7453,0.8832,"POLYGON((2.86083701253358 6.80172100884596, 2.86076018624157 6.801764944106, 2.86070909796847 6.80167568842455, 2.86078592425041 6.80163175317209, 2.86083701253358 6.80172100884596))",6FR4RV26+M8CW
6.80170904,2.85390543,153.8655,0.8918,"POLYGON((2.85398353551951 6.8016949702016, 2.85392691558214 6.80178540381823, 2.85382733429853 6.80172311140219, 2.85388395424576 6.80163267779726, 2.85398353551951 6.8016949702016))",6FR4RV23+MHJ9
6.81967728,2.88262288,152.9747,0.8692,"POLYGON((2.88270146435031 6.81966668753039, 2.88262311986736 6.81975653012335, 2.88254430409043 6.81968786688252, 2.88262264857647 6.81959802430216, 2.88270146435031 6.81966668753039))",6FR4RV9M+V2H5
6.82204369,2.87844795,161.4173,0.8160,"POLYGON((2.87852312704668 6.82207610721717, 2.87840159825672 6.82211114432733, 2.87837277482571 6.82201126460228, 2.87849430359225 6.82197622749874, 2.87852312704668 6.82207610721717))",6FR4RVCH+R98M
6.83116206,2.91022753,156.7130,0.7514,"POLYGON((2.91031033965626 6.83115802873386, 2.91026192847793 6.8312374561855, 2.91014471381461 6.83116608533245, 2.91019312500444 6.83108665789321, 2.91031033965626 6.83115802873386))",6FR4RWJ6+F39F
6.80130254,2.85934389,17.2738,0.7264,"POLYGON((2.85935761453855 6.80127928904667, 2.85936271690228 6.80132190424445, 2.85933016749286 6.80132579799856, 2.85932506513222 6.80128318280047, 2.85935761453855 6.80127928904667))",6FR4RV25+GPH2
6.79831370,2.85253501,133.8551,0.9002,"POLYGON((2.85260576178381 6.79828642147741, 2.85253841709931 6.79838943262679, 2.85246425031735 6.79834098720946, 2.85253159501045 6.79823797607026, 2.85260576178381 6.79828642147741))",6FR4QVX3+82FC
6.82769770,2.90158710,130.8106,0.9277,"POLYGON((2.90165264431509 6.82766488855887, 2.90161131073413 6.82776686370041, 2.90152155401698 6.82773051859206, 2.90156288761366 6.82762854345839, 2.90165264431509 6.82766488855887))",6FR4RWH2+3JGX
6.79745265,2.85922235,89.5443,0.8309,"POLYGON((2.8592661 6.797411, 2.8592648 6.7974956, 2.8591786 6.7974943, 2.8591799 6.7974097, 2.8592661 6.797411))",6FR4QVW5+XMQ2
6.83274115,2.91185648,101.7506,0.8666,"POLYGON((2.91191953451178 6.83275496384461, 2.91183637746996 6.83280246818829, 2.91179341659588 6.83272734053931, 2.91187657362877 6.83267983620278, 2.91191953451178 6.83275496384461))",6FR4RWM6+3PXM
6.79036201,2.83807842,180.7310,0.8622,"POLYGON((2.83816645444814 6.79033570596586, 2.8380582901103 6.79045162210087, 2.8379903802181 6.79038830631812, 2.83809854455734 6.790272390198, 2.83816645444814 6.79033570596586))",6FR4QRRQ+46WG
6.82067905,2.88274912,234.5641,0.9397,"POLYGON((2.8828464189052 6.82068880864867, 2.88274246832015 6.82077656198823, 2.88265181982913 6.82066928488524, 2.88275577040692 6.82058153156469, 2.8828464189052 6.82068880864867))",6FR4RVCM+73H5
6.83311393,2.91048911,103.8984,0.7002,"POLYGON((2.91055147834675 6.8330819830927, 2.91048506047801 6.83318384722001, 2.91042674454026 6.83314586230071, 2.9104931624154 6.83304399818109, 2.91055147834675 6.8330819830927))",6FR4RWM6+65XG
6.78643767,2.83470172,75.6697,0.8985,"POLYGON((2.83475112536896 6.78640701427963, 2.83474996109712 6.78647011798728, 2.83465232696213 6.78646831808287, 2.83465349124661 6.78640521437572, 2.83475112536896 6.78640701427963))",6FR4QRPM+HVGF
6.82068054,2.88223401,77.4973,0.9109,"POLYGON((2.88229086865724 6.82067832474368, 2.88224872071464 6.82073548488234, 2.88217715783424 6.8206827674732, 2.88221930578045 6.82062560734091, 2.88229086865724 6.82067832474368))",6FR4RVCJ+7VH7
6.82012374,2.88206683,101.0793,0.8770,"POLYGON((2.88213043937878 6.82011214085307, 2.88208916028022 6.82018438776683, 2.88200322611925 6.8201353352914, 2.88204450522629 6.82006308838496, 2.88213043937878 6.82011214085307))",6FR4RVCJ+2RWR
6.79593993,2.84686808,25.2755,0.7426,"POLYGON((2.84689345016191 6.79591649090187, 2.84687550962601 6.79597365032141, 2.84684272047769 6.79596336764335, 2.84686066101703 6.79590620822506, 2.84689345016191 6.79591649090187))",6FR4QRWW+9PHH
6.79926384,2.85917824,22.5928,0.7235,"POLYGON((2.85920875954655 6.79925777812334, 2.85919348605016 6.7992909585177, 2.85914771556831 6.79926990790118, 2.85916298906706 6.79923672750826, 2.85920875954655 6.79925777812334))",6FR4QVX5+PM3G
6.82799307,2.90123829,11.4832,0.7217,"POLYGON((2.90125463282972 6.82797887803705, 2.90125171500569 6.82801004023679, 2.90122195948515 6.82800725688345, 2.90122487731117 6.82797609468393, 2.90125463282972 6.82797887803705))",6FR4RWH2+5FXP
6.80316278,2.85928494,100.9171,0.8979,"POLYGON((2.85934897658881 6.8031684548262, 2.85928578622979 6.80322703570176, 2.8592209013082 6.80315710723129, 2.85928409166561 6.80309852636405, 2.85934897658881 6.8031684548262))",6FR4RV35+7P7C
